ci/cr	di/dr	cf/cr
0.2500	0.2500	0.3721
0.2500	0.5000	0.3733
0.2500	0.7500	0.3270
0.2500	1.0000	0.3403
0.2500	1.2500	0.3215
0.2500	1.5000	0.3201
0.2500	1.7500	0.3197
0.2500	2.0000	0.3168
0.5000	0.2500	0.4961
0.5000	0.5000	0.4884
0.5000	0.7500	0.4841
0.5000	1.0000	0.4843
0.5000	1.2500	0.4887
0.5000	1.5000	0.4969
0.5000	1.7500	0.5079
0.5000	2.0000	0.5198
0.7500	0.2500	0.8190
0.7500	0.5000	0.8038
0.7500	0.7500	0.7648
0.7500	1.0000	0.7983
0.7500	1.2500	0.9518
0.7500	1.5000	0.7763
0.7500	1.7500	0.7714
0.7500	2.0000	0.7474
1.0000	0.2500	0.7916
1.0000	0.5000	0.9790
1.0000	0.7500	0.9718
1.0000	1.0000	0.9508
1.0000	1.2500	0.9114
1.0000	1.5000	0.8582
1.0000	1.7500	0.9476
1.0000	2.0000	1.4014
1.2500	0.2500	1.0665
1.2500	0.5000	1.1143
1.2500	0.7500	1.0724
1.2500	1.0000	1.2589
1.2500	1.2500	1.0859
1.2500	1.5000	1.1637
1.2500	1.7500	1.1134
1.2500	2.0000	1.0861
1.5000	0.2500	1.5000
1.5000	0.5000	1.5000
1.5000	0.7500	1.5000
1.5000	1.0000	1.5000
1.5000	1.2500	1.5002
1.5000	1.5000	1.5009
1.5000	1.7500	1.5034
1.5000	2.0000	1.3084
1.7500	0.2500	1.75
1.7500	0.5000	1.75
1.7500	0.7500	1.75
1.7500	1.0000	1.7499
1.7500	1.2500	1.7498
1.7500	1.5000	1.7499
1.7500	1.7500	1.7358
1.7500	2.0000	1.5923
2.0000	0.2500	1.9998
2.0000	0.5000	1.9999
2.0000	0.7500	2.0001
2.0000	1.0000	2.0005
2.0000	1.2500	2.0009
2.0000	1.5000	2.0015
2.0000	1.7500	2.0016
2.0000	2.0000	2
