ci/cr	di/dr	cf/cr
0.2500	0.2500	0.3068
0.2500	0.5000	0.3081
0.2500	0.7500	0.3094
0.2500	1.0000	0.3108
0.2500	1.2500	0.3118
0.2500	1.5000	0.3127
0.2500	1.7500	0.3133
0.2500	2.0000	0.3136
0.5000	0.2500	0.6474
0.5000	0.5000	0.6494
0.5000	0.7500	0.6514
0.5000	1.0000	0.6534
0.5000	1.2500	0.6562
0.5000	1.5000	0.6580
0.5000	1.7500	0.6599
0.5000	2.0000	0.6621
0.7500	0.2500	0.6380
0.7500	0.5000	0.6382
0.7500	0.7500	0.6413
0.7500	1.0000	0.6427
0.7500	1.2500	0.6435
0.7500	1.5000	0.6439
0.7500	1.7500	0.644
0.7500	2.0000	0.6440
1.0000	0.2500	0.3005
1.0000	0.5000	0.2983
1.0000	0.7500	0.2992
1.0000	1.0000	0.2983
1.0000	1.2500	0.2980
1.0000	1.5000	0.2979
1.0000	1.7500	0.2981
1.0000	2.0000	0.298
1.2500	0.2500	1.3725
1.2500	0.5000	1.3692
1.2500	0.7500	1.3677
1.2500	1.0000	1.3653
1.2500	1.2500	1.3634
1.2500	1.5000	1.3612
1.2500	1.7500	1.3590
1.2500	2.0000	1.3568
1.5000	0.2500	1.8238
1.5000	0.5000	1.8237
1.5000	0.7500	1.8223
1.5000	1.0000	1.8216
1.5000	1.2500	1.8197
1.5000	1.5000	1.8175
1.5000	1.7500	1.8153
1.5000	2.0000	1.8132
1.7500	0.2500	1.8898
1.7500	0.5000	1.8879
1.7500	0.7500	1.8859
1.7500	1.0000	1.8842
1.7500	1.2500	1.8822
1.7500	1.5000	1.8803
1.7500	1.7500	1.8782
1.7500	2.0000	1.8760
2.0000	0.2500	2.0378
2.0000	0.5000	2.0367
2.0000	0.7500	2.0358
2.0000	1.0000	2.0351
2.0000	1.2500	2.0346
2.0000	1.5000	2.0341
2.0000	1.7500	2.0339
2.0000	2.0000	2.0335
