ci/cr	di/dr	df/dr
0.2500	0.2500	12.6592
0.2500	0.5000	13.4482
0.2500	0.7500	15.4116
0.2500	1.0000	15.1131
0.2500	1.2500	16.0664
0.2500	1.5000	16.5621
0.2500	1.7500	17.1503
0.2500	2.0000	17.9400
0.5000	0.2500	6.5881
0.5000	0.5000	6.9795
0.5000	0.7500	7.4531
0.5000	1.0000	7.8626
0.5000	1.2500	8.0706
0.5000	1.5000	8.1976
0.5000	1.7500	8.4513
0.5000	2.0000	8.9565
0.7500	0.2500	6.2233
0.7500	0.5000	7.5052
0.7500	0.7500	9.4578
0.7500	1.0000	11.1389
0.7500	1.2500	12.8258
0.7500	1.5000	10.7137
0.7500	1.7500	12.1972
0.7500	2.0000	12.2626
1.0000	0.2500	5.6186
1.0000	0.5000	3.3832
1.0000	0.7500	3.3435
1.0000	1.0000	3.5949
1.0000	1.2500	5.9891
1.0000	1.5000	8.4254
1.0000	1.7500	8.5812
1.0000	2.0000	13.6976
1.2500	0.2500	3.8610
1.2500	0.5000	2.0959
1.2500	0.7500	1.9963
1.2500	1.0000	1.8140
1.2500	1.2500	4.1249
1.2500	1.5000	3.3442
1.2500	1.7500	5.1134
1.2500	2.0000	6.3464
1.5000	0.2500	0.2500
1.5000	0.5000	0.5000
1.5000	0.7500	0.7500
1.5000	1.0000	1.0000
1.5000	1.2500	1.2500
1.5000	1.5000	1.5000
1.5000	1.7500	1.7500
1.5000	2.0000	2.0002
1.7500	0.2500	0.2500
1.7500	0.5000	0.5000
1.7500	0.7500	0.7500
1.7500	1.0000	1.0000
1.7500	1.2500	1.2500
1.7500	1.5000	1.5000
1.7500	1.7500	1.7506
1.7500	2.0000	2.0407
2.0000	0.2500	0.2500
2.0000	0.5000	0.5000
2.0000	0.7500	0.7500
2.0000	1.0000	1.0000
2.0000	1.2500	1.2500
2.0000	1.5000	1.5000
2.0000	1.7500	1.7500
2.0000	2.0000	2.0000
