ci/cr	di/dr	df/dr
0.2500	0.2500	19.0052
0.2500	0.5000	19.6903
0.2500	0.7500	20.3484
0.2500	1.0000	21.0539
0.2500	1.2500	21.7823
0.2500	1.5000	22.5637
0.2500	1.7500	23.3462
0.2500	2.0000	24.1287
0.5000	0.2500	9.9478
0.5000	0.5000	10.2176
0.5000	0.7500	10.5961
0.5000	1.0000	11.0294
0.5000	1.2500	11.5635
0.5000	1.5000	12.1039
0.5000	1.7500	12.6220
0.5000	2.0000	13.1308
0.7500	0.2500	41.1062
0.7500	0.5000	40.2355
0.7500	0.7500	39.3329
0.7500	1.0000	38.6171
0.7500	1.2500	38.0918
0.7500	1.5000	37.6537
0.7500	1.7500	37.3188
0.7500	2.0000	37.0292
1.0000	0.2500	4.3943
1.0000	0.5000	4.6924
1.0000	0.7500	4.9087
1.0000	1.0000	5.1402
1.0000	1.2500	5.3718
1.0000	1.5000	5.6027
1.0000	1.7500	5.8398
1.0000	2.0000	6.0692
1.2500	0.2500	20.1164
1.2500	0.5000	20.1965
1.2500	0.7500	20.4818
1.2500	1.0000	20.7096
1.2500	1.2500	20.9829
1.2500	1.5000	21.2225
1.2500	1.7500	21.5023
1.2500	2.0000	21.7634
1.5000	0.2500	17.6215
1.5000	0.5000	17.7172
1.5000	0.7500	17.7726
1.5000	1.0000	17.8328
1.5000	1.2500	17.8429
1.5000	1.5000	17.8277
1.5000	1.7500	17.7950
1.5000	2.0000	18
1.7500	0.2500	5.5569
1.7500	0.5000	5.8634
1.7500	0.7500	6.1778
1.7500	1.0000	7
1.7500	1.2500	6.8250
1.7500	1.5000	7.1411
1.7500	1.7500	7.4485
1.7500	2.0000	7.7573
2.0000	0.2500	2.0890
2.0000	0.5000	2.2980
2.0000	0.7500	2.5031
2.0000	1.0000	2.7290
2.0000	1.2500	2.9572
2.0000	1.5000	3.1958
2.0000	1.7500	3.4538
2.0000	2.0000	3.7188
